Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1991, eco1, 0, 119.97, 5.31, 0, 238, 0, 
1992, eco1, 0, 119.97, 5.31, 0, 238, 0, 
1993, eco1, 0, 77.82, 5.68, 129, 245, 0, 
1994, eco1, 0, 67.36, 6.01, 0, 262, 0, 
1995, eco1, 0, 130.34, 5.57, 0, 260, 0, 
1996, eco1, 0, 88.14, 5.31, 0, 260, 0, 
1997, eco1, 0, 119.97, 5.31, 0, 238, 0, 
1998, eco1, 0, 62.58, 5.48, 0, 236, 0, 
1999, eco1, 0, 119.97, 5.31, 0, 238, 0, 
2000, eco1, 0, 71.09, 5.51, 0, 260, 0, 
1991, eco2, 1, 116.23, 4.66, 0, 231, 0, 
1992, eco2, 1, 116.23, 4.66, 0, 231, 0, 
1993, eco2, 1, 82.64, 5, 0, 236, 0, 
1994, eco2, 1, 66.18, 5.3, 0, 256, 0, 
1995, eco2, 1, 141.19, 5.02, 0, 258, 0, 
1996, eco2, 1, 93.49, 4.7, 0, 250, 0, 
1997, eco2, 1, 116.23, 4.66, 0, 231, 0, 
1998, eco2, 1, 62.06, 4.78, 0, 230, 0, 
1999, eco2, 1, 116.23, 4.66, 0, 231, 0, 
2000, eco2, 1, 70.45, 4.76, 0, 253, 0, 
1991, eco3, 2, 113.34, 3.99, 0, 230, 0, 
1992, eco3, 2, 113.34, 3.99, 0, 230, 0, 
1993, eco3, 2, 84.72, 4.36, 0, 230, 0, 
1994, eco3, 2, 64.92, 4.6, 0, 247, 0, 
1995, eco3, 2, 140.64, 4.45, 0, 250, 0, 
1996, eco3, 2, 95.94, 4.06, 0, 234, 0, 
1997, eco3, 2, 113.34, 3.99, 0, 230, 0, 
1998, eco3, 2, 61.37, 4.08, 0, 230, 0, 
1999, eco3, 2, 113.34, 3.99, 0, 230, 0, 
2000, eco3, 2, 70.05, 4.01, 0, 240, 0, 
1991, eco4, 3, 122.21, 4.58, 0, 230, 0, 
1992, eco4, 3, 122.21, 4.58, 0, 230, 0, 
1993, eco4, 3, 81.47, 5, 0, 234, 0, 
1994, eco4, 3, 68.5, 5.23, 0, 251, 0, 
1995, eco4, 3, 133.39, 4.99, 0, 254, 0, 
1996, eco4, 3, 89.39, 4.67, 0, 244, 0, 
1997, eco4, 3, 122.21, 4.58, 0, 230, 0, 
1998, eco4, 3, 63.24, 4.69, 0, 230, 0, 
1999, eco4, 3, 122.21, 4.58, 0, 230, 0, 
2000, eco4, 3, 73.43, 4.68, 0, 248, 0, 
1991, eco5, 4, 118.79, 4.78, 0, 232, 0, 
1992, eco5, 4, 118.79, 4.78, 0, 232, 0, 
1993, eco5, 4, 80.18, 5.15, 0, 236, 0, 
1994, eco5, 4, 67.21, 5.41, 0, 256, 0, 
1995, eco5, 4, 130.88, 5.16, 0, 259, 0, 
1996, eco5, 4, 89.31, 4.82, 0, 250, 0, 
1997, eco5, 4, 118.79, 4.78, 0, 232, 0, 
1998, eco5, 4, 62.55, 4.88, 0, 231, 0, 
1999, eco5, 4, 118.79, 4.78, 0, 232, 0, 
2000, eco5, 4, 71.57, 4.86, 0, 254, 0, 
